"Year","RecreationVisits","ID"
1979,2787366,"ACAD"
1980,2779666,"ACAD"
1981,2997972,"ACAD"
1982,3572114,"ACAD"
1983,4124639,"ACAD"
1984,3734763,"ACAD"
1985,3745570,"ACAD"
1986,3929054,"ACAD"
1987,4288154,"ACAD"
1988,4502283,"ACAD"
1989,5440952,"ACAD"
1990,2339591,"ACAD"
1991,2475857,"ACAD"
1992,2382113,"ACAD"
1993,2656034,"ACAD"
1994,2710749,"ACAD"
1995,2845378,"ACAD"
1996,2704831,"ACAD"
1997,2760306,"ACAD"
1998,2594497,"ACAD"
1999,2602227,"ACAD"
2000,2469238,"ACAD"
2001,2516551,"ACAD"
2002,2558572,"ACAD"
2003,2431062,"ACAD"
2004,2207847,"ACAD"
2005,2051484,"ACAD"
2006,2083588,"ACAD"
2007,2202228,"ACAD"
2008,2075857,"ACAD"
2009,2227698,"ACAD"
2010,2504208,"ACAD"
2011,2374645,"ACAD"
2012,2431052,"ACAD"
2013,2254922,"ACAD"
2014,2563129,"ACAD"
2015,2811184,"ACAD"
2016,3303393,"ACAD"
2017,3509271,"ACAD"
2018,3537575,"ACAD"
2019,3437286,"ACAD"
2020,2669034,"ACAD"
2021,4069098,"ACAD"
2022,3970260,"ACAD"
2023,3879890,"ACAD"
2024,3961661,"ACAD"
1979,269840,"ARCH"
1980,290519,"ARCH"
1981,326508,"ARCH"
1982,339415,"ARCH"
1983,287875,"ARCH"
1984,345180,"ARCH"
1985,363464,"ARCH"
1986,419444,"ARCH"
1987,468916,"ARCH"
1988,520455,"ARCH"
1989,555809,"ARCH"
1990,620719,"ARCH"
1991,705882,"ARCH"
1992,799831,"ARCH"
1993,773678,"ARCH"
1994,777178,"ARCH"
1995,859374,"ARCH"
1996,856016,"ARCH"
1997,858525,"ARCH"
1998,837161,"ARCH"
1999,869980,"ARCH"
2000,786429,"ARCH"
2001,754026,"ARCH"
2002,769672,"ARCH"
2003,757781,"ARCH"
2004,733131,"ARCH"
2005,781670,"ARCH"
2006,833049,"ARCH"
2007,860181,"ARCH"
2008,928795,"ARCH"
2009,996312,"ARCH"
2010,1014405,"ARCH"
2011,1040758,"ARCH"
2012,1070577,"ARCH"
2013,1082866,"ARCH"
2014,1284767,"ARCH"
2015,1399247,"ARCH"
2016,1585718,"ARCH"
2017,1539028,"ARCH"
2018,1663557,"ARCH"
2019,1659702,"ARCH"
2020,1238083,"ARCH"
2021,1806865,"ARCH"
2022,1460652,"ARCH"
2023,1482045,"ARCH"
2024,1466528,"ARCH"
1979,858000,"BADL"
1980,952652,"BADL"
1981,1175952,"BADL"
1982,1030484,"BADL"
1983,1026981,"BADL"
1984,1113675,"BADL"
1985,950242,"BADL"
1986,1025630,"BADL"
1987,1174398,"BADL"
1988,1110040,"BADL"
1989,1237956,"BADL"
1990,1326475,"BADL"
1991,1518396,"BADL"
1992,1205297,"BADL"
1993,1179458,"BADL"
1994,1130459,"BADL"
1995,1075569,"BADL"
1996,1024705,"BADL"
1997,970696,"BADL"
1998,1021049,"BADL"
1999,950453,"BADL"
2000,1105824,"BADL"
2001,955469,"BADL"
2002,908898,"BADL"
2003,871034,"BADL"
2004,936030,"BADL"
2005,909146,"BADL"
2006,840118,"BADL"
2007,886654,"BADL"
2008,845734,"BADL"
2009,933918,"BADL"
2010,977778,"BADL"
2011,870741,"BADL"
2012,883406,"BADL"
2013,892372,"BADL"
2014,868094,"BADL"
2015,989354,"BADL"
2016,996263,"BADL"
2017,1054325,"BADL"
2018,1008942,"BADL"
2019,970998,"BADL"
2020,916932,"BADL"
2021,1224226,"BADL"
2022,1006809,"BADL"
2023,1046400,"BADL"
2024,1094245,"BADL"
1979,282941,"BIBE"
1980,174008,"BIBE"
1981,167332,"BIBE"
1982,180144,"BIBE"
1983,164926,"BIBE"
1984,167665,"BIBE"
1985,188045,"BIBE"
1986,200622,"BIBE"
1987,227921,"BIBE"
1988,239595,"BIBE"
1989,281728,"BIBE"
1990,257378,"BIBE"
1991,296470,"BIBE"
1992,294535,"BIBE"
1993,327907,"BIBE"
1994,330417,"BIBE"
1995,295460,"BIBE"
1996,279454,"BIBE"
1997,305882,"BIBE"
1998,338442,"BIBE"
1999,327649,"BIBE"
2000,262320,"BIBE"
2001,328927,"BIBE"
2002,327747,"BIBE"
2003,312384,"BIBE"
2004,357723,"BIBE"
2005,398583,"BIBE"
2006,298717,"BIBE"
2007,364856,"BIBE"
2008,362512,"BIBE"
2009,363905,"BIBE"
2010,372330,"BIBE"
2011,361862,"BIBE"
2012,292055,"BIBE"
2013,316953,"BIBE"
2014,314102,"BIBE"
2015,381747,"BIBE"
2016,388290,"BIBE"
2017,440276,"BIBE"
2018,440091,"BIBE"
2019,463832,"BIBE"
2020,393907,"BIBE"
2021,581220,"BIBE"
2022,514107,"BIBE"
2023,509129,"BIBE"
2024,561458,"BIBE"
1979,202938,"BISC"
1980,248071,"BISC"
1981,305502,"BISC"
1982,348219,"BISC"
1983,369082,"BISC"
1984,340567,"BISC"
1985,460921,"BISC"
1986,578013,"BISC"
1987,607968,"BISC"
1988,531036,"BISC"
1989,589957,"BISC"
1990,573376,"BISC"
1991,488134,"BISC"
1992,307512,"BISC"
1993,19950,"BISC"
1994,25147,"BISC"
1995,584519,"BISC"
1996,338603,"BISC"
1997,392069,"BISC"
1998,403239,"BISC"
1999,442585,"BISC"
2000,393151,"BISC"
2001,489343,"BISC"
2002,513397,"BISC"
2003,490031,"BISC"
2004,478304,"BISC"
2005,563728,"BISC"
2006,608836,"BISC"
2007,517442,"BISC"
2008,686062,"BISC"
2009,437745,"BISC"
2010,467612,"BISC"
2011,476077,"BISC"
2012,495613,"BISC"
2013,486848,"BISC"
2014,525745,"BISC"
2015,508164,"BISC"
2016,514709,"BISC"
2017,446961,"BISC"
2018,469253,"BISC"
2019,708522,"BISC"
2020,402770,"BISC"
2021,705655,"BISC"
2022,701023,"BISC"
2023,571242,"BISC"
2024,512213,"BISC"
1979,234286,"BLCA"
1980,336119,"BLCA"
1981,266604,"BLCA"
